,Topic,Top 1,Top 2,Top 3,Top 4,Top 5,Top 6,Top 7,Top 8,Top 9,Top 10,Top 11,Top 12,Top 13,Top 14,Top 15,Top 16,Top 17,Top 18,Top 19,Top 20
0,A,product,manufacturing,sustainable,value,cycle,market,customer,functional,smart,environmental,cost,tools,life,companies,implementation,user,modular,requirements,consumers,enhance
1,B,learning,teaching,course,teachers,practice,experience,skills,educational,student,problem,project,training,school,solving,instructional,classroom,integration,thinking,computer,environment
2,C,robotics,agricultural,clinical,book,systems,cell,genetic,field,gene,human,science,social,interaction,control,application,devices,biology,medical,biological,genome
3,D,university,program,science,academic,entrepreneurship,faculty,institutions,training,national,graduate,social,participants,activities,economic,support,challenges,center,experience,economy,student
4,E,industry,manufacturing,enterprises,collaboration,upgrading,spillovers,investment,economic,structure,government,evaluation,strategies,domestic,analysis,funded,green,university,taiwan,emerging,policy
5,F,management,project,knowledge,construction,network,risk,organization,architecture,analysis,enterprises,data,scientific,practice,organizational,topics,urban,strategies,including,proceedings,framework
6,G,energy,systems,water,renewable,electrical,building,sustainable,vehicle,wind,consumption,infrastructure,solar,city,energy_efficiency,transition,grid,power,smart,regional,policy
7,H,model,business,service,processes,systems,customer,open,digital,enterprises,companies,platform,government,framework,simulation,case,support,integration,world,interdisciplinary,dynamic
8,I,software,agile,open,platform,collaboration,requirements,data,application,user,team,practice,companies,adoption,ecosystem,support,architecture,test,identified,tools,startups
9,J,materials,structure,3d,composites,application,printing,construction,properties,tissue,chemical,mechanical,fabrication,raw,ceramic,polymer,durability,fibers,reinforcement,patent,biomaterials
10,K,firms,performance,capability,effect,factors,relationship,cooperation,market,competitive,companies,influence,positive,smes,value,patent,empirical,organizational,data,culture,explore
11,L,creative,space,ideas,culture,techniques,knowledge,thinking,elements,designed,human,inspired,understanding,concepts,problem,skills,confidence,city,convergence,computer,aims
